"team","conf","w","l","tm_pts","op_pts","ssn","playoff","conf_rank","pt_diff"
"Detroit Pistons","east","54","28",93.3,89.5,"2005","y",2,3.8
"Chicago Bulls","east","47","35",94.5,93.4,"2005","y",4,1.09999999999999
"Indiana Pacers","east","44","38",93,92.2,"2005","y",6,0.799999999999997
"Cleveland Cavaliers","east","42","40",96.5,95.7,"2005","n",9,0.799999999999997
"Milwaukee Bucks","east","30","52",97.2,100.2,"2005","n",13,-3
"Miami Heat","east","59","23",101.5,95,"2005","y",1,6.5
"Washington Wizards","east","45","37",100.5,100.8,"2005","y",5,-0.299999999999997
"Orlando Magic","east","36","46",99.5,101.8,"2005","n",10,-2.3
"Charlotte Bobcats","east","18","64",94.3,100.2,"2005","n",14,-5.90000000000001
"Atlanta Hawks","east","13","69",92.7,102.5,"2005","n",15,-9.8
"New Jersey Nets","east","49","33",93.8,92.4,"2006","y",3,1.39999999999999
"Philadelphia 76ers","east","38","44",99.4,101.3,"2006","n",9,-1.89999999999999
"Boston Celtics","east","33","49",98,99.5,"2006","n",11,-1.5
"Toronto Raptors","east","27","55",101.1,104,"2006","n",12,-2.90000000000001
"New York Knicks","east","23","59",95.6,102,"2006","n",15,-6.40000000000001
"Detroit Pistons","east","64","18",96.8,90.2,"2006","y",1,6.59999999999999
"Cleveland Cavaliers","east","50","32",97.6,95.4,"2006","y",4,2.19999999999999
"Indiana Pacers","east","41","41",93.9,92,"2006","y",6,1.90000000000001
"Chicago Bulls","east","41","41",97.8,97.2,"2006","y",7,0.599999999999994
"Milwaukee Bucks","east","40","42",97.8,98.8,"2006","y",8,-1
"Miami Heat","east","52","30",99.9,96,"2006","y",2,3.90000000000001
"Washington Wizards","east","42","40",101.7,99.8,"2006","y",5,1.90000000000001
"Orlando Magic","east","36","46",94.9,96,"2006","n",10,-1.09999999999999
"Charlotte Bobcats","east","26","56",96.9,100.9,"2006","n",13,-4
"Atlanta Hawks","east","26","56",97.2,102,"2006","n",14,-4.8
"Toronto Raptors","east","47","35",99.5,98.5,"2007","y",3,1
"New Jersey Nets","east","41","41",97.6,98.3,"2007","y",6,-0.700000000000003
"Philadelphia 76ers","east","35","47",94.9,98,"2007","n",10,-3.09999999999999
"New York Knicks","east","33","49",97.5,100.3,"2007","n",12,-2.8
"Boston Celtics","east","24","58",95.8,99.2,"2007","n",15,-3.40000000000001
"Detroit Pistons","east","53","29",96,91.8,"2007","y",1,4.2
"Cleveland Cavaliers","east","50","32",96.8,92.9,"2007","y",2,3.89999999999999
"Chicago Bulls","east","49","33",98.8,93.8,"2007","y",5,5
"Indiana Pacers","east","35","47",95.6,98,"2007","n",9,-2.40000000000001
"Milwaukee Bucks","east","28","54",99.7,104,"2007","n",14,-4.3
"Miami Heat","east","44","38",94.6,95.5,"2007","y",4,-0.900000000000006
"Washington Wizards","east","41","41",104.3,104.9,"2007","y",7,-0.600000000000009
"Orlando Magic","east","40","42",94.8,94,"2007","y",8,0.799999999999997
"Charlotte Bobcats","east","33","49",96.9,100.6,"2007","n",11,-3.69999999999999
"Atlanta Hawks","east","30","52",93.7,98.4,"2007","n",13,-4.7
"Boston Celtics","east","66","16",100.5,90.3,"2008","y",1,10.2
"Toronto Raptors","east","41","41",100.2,97.3,"2008","y",6,2.90000000000001
"Philadelphia 76ers","east","40","42",96.6,96.2,"2008","y",7,0.399999999999991
"New Jersey Nets","east","34","48",95.8,100.9,"2008","n",10,-5.10000000000001
"New York Knicks","east","23","59",96.9,103.5,"2008","n",14,-6.59999999999999
"Detroit Pistons","east","59","23",97.5,90.1,"2008","y",2,7.40000000000001
"Cleveland Cavaliers","east","45","37",96.4,96.7,"2008","y",4,-0.299999999999997
"Indiana Pacers","east","36","46",104,105.4,"2008","n",9,-1.40000000000001
"Chicago Bulls","east","33","49",97.3,100.4,"2008","n",11,-3.10000000000001
"Milwaukee Bucks","east","26","56",97,103.9,"2008","n",13,-6.90000000000001
"Orlando Magic","east","52","30",104.5,99,"2008","y",3,5.5
"Washington Wizards","east","43","39",98.8,99.2,"2008","y",5,-0.400000000000006
"Atlanta Hawks","east","37","45",98.2,100,"2008","y",8,-1.8
"Charlotte Bobcats","east","32","50",97.1,101.4,"2008","n",12,-4.30000000000001
"Miami Heat","east","15","67",91.4,100,"2008","n",15,-8.59999999999999
"Boston Celtics","east","62","20",100.9,93.4,"2009","y",2,7.5
"Philadelphia 76ers","east","41","41",97.4,97.3,"2009","y",6,0.100000000000009
"New Jersey Nets","east","34","48",98.1,100.5,"2009","n",11,-2.40000000000001
"Toronto Raptors","east","33","49",99,101.9,"2009","n",13,-2.90000000000001
"New York Knicks","east","32","50",105.2,107.8,"2009","n",14,-2.59999999999999
"Cleveland Cavaliers","east","66","16",100.3,91.4,"2009","y",1,8.89999999999999
"Chicago Bulls","east","41","41",102.2,102.5,"2009","y",7,-0.299999999999997
"Detroit Pistons","east","39","43",94.2,94.7,"2009","y",8,-0.5
"Indiana Pacers","east","36","46",105.1,106.2,"2009","n",9,-1.10000000000001
"Milwaukee Bucks","east","34","48",99.3,100.4,"2009","n",12,-1.10000000000001
"Orlando Magic","east","59","23",101,94.4,"2009","y",3,6.59999999999999
"Atlanta Hawks","east","47","35",98.1,96.5,"2009","y",4,1.59999999999999
"Miami Heat","east","43","39",98.3,98,"2009","y",5,0.299999999999997
"Charlotte Bobcats","east","35","47",93.6,94.9,"2009","n",10,-1.30000000000001
"Washington Wizards","east","19","63",96.1,103.5,"2009","n",15,-7.40000000000001
"Boston Celtics","east","50","32",99.2,95.6,"2010","y",4,3.60000000000001
"Toronto Raptors","east","40","42",104.1,105.9,"2010","n",9,-1.80000000000001
"New York Knicks","east","29","53",102.1,105.9,"2010","n",11,-3.80000000000001
"Philadelphia 76ers","east","27","55",97.7,101.6,"2010","n",13,-3.89999999999999
"New Jersey Nets","east","12","70",92.4,101.5,"2010","n",15,-9.09999999999999
"Cleveland Cavaliers","east","61","21",102.1,95.6,"2010","y",1,6.5
"Milwaukee Bucks","east","46","36",97.7,96,"2010","y",6,1.7
"Chicago Bulls","east","41","41",97.5,99.1,"2010","y",8,-1.59999999999999
"Indiana Pacers","east","32","50",100.8,103.8,"2010","n",10,-3
"Detroit Pistons","east","27","55",94,99.1,"2010","n",12,-5.09999999999999
"Orlando Magic","east","59","23",102.8,95.3,"2010","y",2,7.5
"Atlanta Hawks","east","53","29",101.7,97,"2010","y",3,4.7
"Miami Heat","east","47","35",96.5,94.2,"2010","y",5,2.3
"Charlotte Bobcats","east","44","38",95.3,93.8,"2010","y",7,1.5
"Washington Wizards","east","26","56",96.2,101,"2010","n",14,-4.8
"Boston Celtics","east","56","26",96.5,91.1,"2011","y",3,5.40000000000001
"New York Knicks","east","42","40",106.5,105.7,"2011","y",6,0.799999999999997
"Philadelphia 76ers","east","41","41",99,97.5,"2011","y",7,1.5
"New Jersey Nets","east","24","58",94.2,100.4,"2011","n",12,-6.2
"Toronto Raptors","east","22","60",99.1,105.4,"2011","n",14,-6.30000000000001
"Chicago Bulls","east","62","20",98.6,91.3,"2011","y",1,7.3
"Indiana Pacers","east","37","45",99.8,100.9,"2011","y",8,-1.10000000000001
"Milwaukee Bucks","east","35","47",91.9,92.7,"2011","n",9,-0.799999999999997
"Detroit Pistons","east","30","52",97,100.6,"2011","n",11,-3.59999999999999
"Cleveland Cavaliers","east","19","63",95.5,104.5,"2011","n",15,-9
"Miami Heat","east","58","24",102.1,94.6,"2011","y",2,7.5
"Orlando Magic","east","52","30",99.2,93.7,"2011","y",4,5.5
"Atlanta Hawks","east","44","38",95,95.8,"2011","y",5,-0.799999999999997
"Charlotte Bobcats","east","34","48",93.3,97.3,"2011","n",10,-4
"Washington Wizards","east","23","59",97.3,104.7,"2011","n",13,-7.40000000000001
"Boston Celtics","east","39","27",91.8,89.3,"2012","y",4,2.5
"New York Knicks","east","36","30",97.8,94.7,"2012","y",7,3.09999999999999
"Philadelphia 76ers","east","35","31",93.6,89.4,"2012","y",8,4.19999999999999
"Toronto Raptors","east","23","43",90.7,94,"2012","n",11,-3.3
"New Jersey Nets","east","22","44",93.1,99.1,"2012","n",12,-6
"Chicago Bulls","east","50","16",96.3,88.2,"2012","y",1,8.09999999999999
"Indiana Pacers","east","42","24",97.7,94.4,"2012","y",3,3.3
"Milwaukee Bucks","east","31","35",99,98.7,"2012","n",9,0.299999999999997
"Detroit Pistons","east","25","41",90.9,95.7,"2012","n",10,-4.8
"Cleveland Cavaliers","east","21","45",93,100.2,"2012","n",13,-7.2
"Miami Heat","east","46","20",98.5,92.5,"2012","y",2,6
"Atlanta Hawks","east","40","26",96.6,93.2,"2012","y",5,3.39999999999999
"Orlando Magic","east","37","29",94.2,93.4,"2012","y",6,0.799999999999997
"Washington Wizards","east","20","46",93.6,98.4,"2012","n",14,-4.80000000000001
"Charlotte Bobcats","east","7","59",87,100.9,"2012","n",15,-13.9
"New York Knicks","east","54","28",100,95.7,"2013","y",2,4.3
"Brooklyn Nets","east","49","33",96.9,95.1,"2013","y",4,1.80000000000001
"Boston Celtics","east","41","40",96.5,96.7,"2013","y",7,-0.200000000000003
"Philadelphia 76ers","east","34","48",93.2,96.5,"2013","n",9,-3.3
"Toronto Raptors","east","34","48",97.2,98.7,"2013","n",10,-1.5
"Indiana Pacers","east","49","32",94.7,90.7,"2013","y",3,4
"Chicago Bulls","east","45","37",93.2,92.9,"2013","y",5,0.299999999999997
"Milwaukee Bucks","east","38","44",98.9,100.4,"2013","y",8,-1.5
"Detroit Pistons","east","29","53",94.9,98.8,"2013","n",11,-3.89999999999999
"Cleveland Cavaliers","east","24","58",96.5,101.2,"2013","n",13,-4.7
"Miami Heat","east","66","16",102.9,95,"2013","y",1,7.90000000000001
"Atlanta Hawks","east","44","38",98,97.5,"2013","y",6,0.5
"Washington Wizards","east","29","53",93.2,95.8,"2013","n",12,-2.59999999999999
"Charlotte Bobcats","east","21","61",93.4,102.7,"2013","n",14,-9.3
"Orlando Magic","east","20","62",94.1,101.1,"2013","n",15,-7
"Toronto Raptors","east","48","34",101.3,98,"2014","y",3,3.3
"Brooklyn Nets","east","44","38",98.5,99.5,"2014","y",5,-1
"New York Knicks","east","37","45",98.6,99.4,"2014","n",9,-0.800000000000011
"Boston Celtics","east","25","57",96.2,100.7,"2014","n",12,-4.5
"Philadelphia 76ers","east","19","63",99.5,109.9,"2014","n",14,-10.4
"Indiana Pacers","east","56","26",96.7,92.3,"2014","y",1,4.40000000000001
"Chicago Bulls","east","48","34",93.7,91.8,"2014","y",3,1.90000000000001
"Cleveland Cavaliers","east","33","49",98.2,101.5,"2014","n",10,-3.3
"Detroit Pistons","east","29","53",101,104.7,"2014","n",11,-3.7
"Milwaukee Bucks","east","15","67",95.5,103.7,"2014","n",15,-8.2
"Miami Heat","east","54","28",102.2,97.4,"2014","y",2,4.8
"Washington Wizards","east","44","38",100.7,99.4,"2014","y",5,1.3
"Charlotte Bobcats","east","43","39",96.9,97.1,"2014","y",7,-0.199999999999989
"Atlanta Hawks","east","38","44",101,101.5,"2014","y",8,-0.5
"Orlando Magic","east","23","59",96.5,102,"2014","n",13,-5.5
"Toronto Raptors","east","49","33",104,100.9,"2015","y",4,3.09999999999999
"Boston Celtics","east","40","42",101.4,101.2,"2015","y",7,0.200000000000003
"Brooklyn Nets","east","38","44",98,100.9,"2015","y",8,-2.90000000000001
"Philadelphia 76ers","east","18","64",92,101,"2015","n",14,-9
"New York Knicks","east","17","65",91.9,101.2,"2015","n",15,-9.3
"Cleveland Cavaliers","east","53","29",103.1,98.7,"2015","y",2,4.39999999999999
"Chicago Bulls","east","50","32",100.8,97.8,"2015","y",3,3
"Milwaukee Bucks","east","41","41",97.8,97.4,"2015","y",6,0.399999999999991
"Indiana Pacers","east","38","44",97.3,97,"2015","n",9,0.299999999999997
"Detroit Pistons","east","32","50",98.5,99.5,"2015","n",12,-1
"Atlanta Hawks","east","60","22",102.5,97.1,"2015","y",1,5.40000000000001
"Washington Wizards","east","46","36",98.5,97.8,"2015","y",5,0.700000000000003
"Miami Heat","east","37","45",94.7,97.3,"2015","n",10,-2.59999999999999
"Charlotte Hornets","east","33","49",94.2,97.3,"2015","n",11,-3.09999999999999
"Orlando Magic","east","25","57",95.7,101.4,"2015","n",13,-5.7
"Denver Nuggets","west","50","32",112.6,107.4,"1977","y",2,5.19999999999999
"Detroit Pistons","west","44","38",109.4,110.4,"1977","y",5,-1
"Chicago Bulls","west","44","38",98.9,98,"1977","y",6,0.900000000000006
"Kansas City Kings","west","40","42",107.7,106.8,"1977","n",8,0.900000000000006
"Indiana Pacers","west","36","46",106.8,108.6,"1977","n",9,-1.8
"Milwaukee Bucks","west","30","52",108.4,111.5,"1977","n",11,-3.09999999999999
"Los Angeles Lakers","west","53","29",106.9,104.1,"1977","y",1,2.80000000000001
"Portland Trail Blazers","west","49","33",111.7,106.2,"1977","y",3,5.5
"Golden State Warriors","west","46","36",110.9,107.7,"1977","y",4,3.2
"Seattle SuperSonics","west","40","42",104,105.5,"1977","n",7,-1.5
"Phoenix Suns","west","34","48",104.9,104.2,"1977","n",10,0.700000000000003
"Denver Nuggets","west","48","34",111.8,110.9,"1978","y",2,0.899999999999991
"Milwaukee Bucks","west","44","38",112.4,113,"1978","y",6,-0.599999999999994
"Chicago Bulls","west","40","42",103.9,104.8,"1978","n",8,-0.899999999999991
"Detroit Pistons","west","38","44",109,110.2,"1978","n",9,-1.2
"Kansas City Kings","west","31","51",109.5,111.4,"1978","n",10,-1.90000000000001
"Indiana Pacers","west","31","51",108.6,111.1,"1978","n",11,-2.5
"Portland Trail Blazers","west","58","24",107.7,101.5,"1978","y",1,6.2
"Phoenix Suns","west","49","33",112.3,108.6,"1978","y",3,3.7
"Seattle SuperSonics","west","47","35",104.5,102.9,"1978","y",4,1.59999999999999
"Los Angeles Lakers","west","45","37",110.3,107.6,"1978","y",5,2.7
"Golden State Warriors","west","43","39",106.1,105.7,"1978","n",7,0.399999999999991
"Kansas City Kings","west","48","34",113.1,110.2,"1979","y",2,2.89999999999999
"Denver Nuggets","west","47","35",110.7,109.5,"1979","y",4,1.2
"Milwaukee Bucks","west","38","44",114.1,111.8,"1979","n",8,2.3
"Indiana Pacers","west","38","44",108.6,110.2,"1979","n",10,-1.60000000000001
"Chicago Bulls","west","31","51",104.7,108.7,"1979","n",11,-4
"Seattle SuperSonics","west","52","30",106.6,103.9,"1979","y",1,2.69999999999999
"Phoenix Suns","west","50","32",115.4,111.7,"1979","y",3,3.7
"Los Angeles Lakers","west","47","35",112.9,109.9,"1979","y",5,3
"Portland Trail Blazers","west","45","37",108.4,107.1,"1979","y",6,1.30000000000001
"San Diego Clippers","west","43","39",113.1,114.9,"1979","n",7,-1.80000000000001
"Golden State Warriors","west","38","44",105.1,104.8,"1979","n",9,0.299999999999997
"Milwaukee Bucks","west","49","33",110.1,106.1,"1980","y",2,4
"Kansas City Kings","west","47","35",108,104.9,"1980","y",5,3.09999999999999
"Denver Nuggets","west","30","52",108.3,112.7,"1980","n",8,-4.40000000000001
"Chicago Bulls","west","30","52",107.5,110.2,"1980","n",9,-2.7
"Utah Jazz","west","24","58",102.4,108.4,"1980","n",11,-6
"Los Angeles Lakers","west","60","22",115.1,109.2,"1980","y",1,5.89999999999999
"Seattle SuperSonics","west","56","26",108.5,103.8,"1980","y",3,4.7
"Phoenix Suns","west","55","27",111.1,107.5,"1980","y",4,3.59999999999999
"Portland Trail Blazers","west","38","44",102.5,103.3,"1980","y",6,-0.799999999999997
"San Diego Clippers","west","35","47",107.6,111.7,"1980","n",7,-4.10000000000001
"Golden State Warriors","west","24","58",103.6,108,"1980","n",10,-4.40000000000001
"San Antonio Spurs","west","52","30",112.3,109.4,"1981","y",2,2.89999999999999
"Kansas City Kings","west","40","42",106.9,106.9,"1981","y",5,0
"Houston Rockets","west","40","42",108.3,107.9,"1981","y",6,0.399999999999991
"Denver Nuggets","west","37","45",121.8,122.3,"1981","n",8,-0.5
"Utah Jazz","west","28","54",101.2,107.1,"1981","n",11,-5.89999999999999
"Dallas Mavericks","west","15","67",101.5,109.9,"1981","n",12,-8.40000000000001
"Phoenix Suns","west","57","25",110,104.5,"1981","y",1,5.5
"Los Angeles Lakers","west","54","28",111.2,107.3,"1981","y",3,3.90000000000001
"Portland Trail Blazers","west","45","37",110.7,109.8,"1981","y",4,0.900000000000006
"Golden State Warriors","west","39","43",109.8,111,"1981","n",7,-1.2
"San Diego Clippers","west","36","46",106.5,108.1,"1981","n",9,-1.59999999999999
"Seattle SuperSonics","west","34","48",104,105.7,"1981","n",10,-1.7
"San Antonio Spurs","west","48","34",113.1,110.8,"1982","y",2,2.3
"Denver Nuggets","west","46","36",126.5,126,"1982","y",4,0.5
"Houston Rockets","west","46","36",105.9,105.9,"1982","y",6,0
"Kansas City Kings","west","30","52",107.1,110.2,"1982","n",9,-3.10000000000001
"Dallas Mavericks","west","28","54",104.6,109,"1982","n",10,-4.40000000000001
"Utah Jazz","west","25","57",110.9,116.6,"1982","n",11,-5.69999999999999
"Los Angeles Lakers","west","57","25",114.6,109.8,"1982","y",1,4.8
"Seattle SuperSonics","west","52","30",107.3,103.1,"1982","y",3,4.2
"Phoenix Suns","west","46","36",106.2,102.7,"1982","y",5,3.5
"Golden State Warriors","west","45","37",110.9,109.8,"1982","n",7,1.10000000000001
"Portland Trail Blazers","west","42","40",109.8,109.2,"1982","n",8,0.599999999999994
"San Diego Clippers","west","17","65",108.5,115.9,"1982","n",12,-7.40000000000001
"San Antonio Spurs","west","53","29",114.3,110.7,"1983","y",2,3.59999999999999
"Denver Nuggets","west","45","37",123.2,122.6,"1983","y",6,0.600000000000009
"Kansas City Kings","west","45","37",113.8,112.3,"1983","n",7,1.5
"Dallas Mavericks","west","38","44",112.7,113.1,"1983","n",8,-0.399999999999991
"Utah Jazz","west","30","52",109,113.2,"1983","n",10,-4.2
"Houston Rockets","west","14","68",99.3,110.9,"1983","n",12,-11.6
"Los Angeles Lakers","west","58","24",115,109.5,"1983","y",1,5.5
"Phoenix Suns","west","53","29",107,102,"1983","y",3,5
"Seattle SuperSonics","west","48","34",110,106.8,"1983","y",4,3.2
"Portland Trail Blazers","west","46","36",107.4,105.3,"1983","y",5,2.10000000000001
"Golden State Warriors","west","30","52",108.6,112.3,"1983","n",9,-3.7
"San Diego Clippers","west","25","57",108.6,113.4,"1983","n",11,-4.80000000000001
"Utah Jazz","west","45","37",115,113.8,"1984","y",2,1.2
"Dallas Mavericks","west","43","39",110.4,110,"1984","y",4,0.400000000000006
"Denver Nuggets","west","38","44",123.7,124.8,"1984","y",7,-1.09999999999999
"Kansas City Kings","west","38","44",110,111.5,"1984","y",8,-1.5
"San Antonio Spurs","west","37","45",120.3,120.5,"1984","n",10,-0.200000000000003
"Houston Rockets","west","29","53",110.6,113.7,"1984","n",12,-3.10000000000001
"Los Angeles Lakers","west","54","28",115.6,111.8,"1984","y",1,3.8
"Portland Trail Blazers","west","48","34",113.1,109.6,"1984","y",3,3.5
"Seattle SuperSonics","west","42","40",108.1,108.3,"1984","y",5,-0.200000000000003
"Phoenix Suns","west","41","41",111,110.1,"1984","y",6,0.900000000000006
"Golden State Warriors","west","37","45",109.9,113.3,"1984","n",9,-3.39999999999999
"San Diego Clippers","west","30","52",110.7,114,"1984","n",11,-3.3
"Denver Nuggets","west","52","30",120,117.6,"1985","y",2,2.40000000000001
"Houston Rockets","west","48","34",111.2,109.5,"1985","y",3,1.7
"Dallas Mavericks","west","44","38",111.2,109,"1985","y",4,2.2
"Utah Jazz","west","41","41",109,109.1,"1985","y",6,-0.0999999999999943
"San Antonio Spurs","west","41","41",114.8,113.9,"1985","y",7,0.899999999999991
"Kansas City Kings","west","31","51",114.8,117.5,"1985","n",9,-2.7
"Los Angeles Lakers","west","62","20",118.2,110.9,"1985","y",1,7.3
"Portland Trail Blazers","west","42","40",115.5,112.1,"1985","y",5,3.40000000000001
"Phoenix Suns","west","36","46",108,110.1,"1985","y",8,-2.09999999999999
"Seattle SuperSonics","west","31","51",102.1,107.6,"1985","n",10,-5.5
"Los Angeles Clippers","west","31","51",107.1,111.6,"1985","n",11,-4.5
"Golden State Warriors","west","22","60",110.4,117.7,"1985","n",12,-7.3
"Houston Rockets","west","51","31",114.4,111.8,"1986","y",2,2.60000000000001
"Denver Nuggets","west","47","35",114.8,113.5,"1986","y",3,1.3
"Dallas Mavericks","west","44","38",115.3,114.2,"1986","y",4,1.09999999999999
"Utah Jazz","west","42","40",108.2,108.5,"1986","y",5,-0.299999999999997
"Sacramento Kings","west","37","45",108.8,111.9,"1986","y",7,-3.10000000000001
"San Antonio Spurs","west","35","47",111.2,113.1,"1986","y",8,-1.89999999999999
"Los Angeles Lakers","west","62","20",117.3,109.5,"1986","y",1,7.8
"Portland Trail Blazers","west","40","42",115.1,114,"1986","y",6,1.09999999999999
"Phoenix Suns","west","32","50",110,113,"1986","n",9,-3
"Los Angeles Clippers","west","32","50",108.6,115.5,"1986","n",10,-6.90000000000001
"Seattle SuperSonics","west","31","51",104.4,104.5,"1986","n",11,-0.0999999999999943
"Golden State Warriors","west","30","52",113.4,116.9,"1986","n",12,-3.5
"Dallas Mavericks","west","55","27",116.7,110.4,"1987","y",2,6.3
"Utah Jazz","west","44","38",107.9,107.5,"1987","y",4,0.400000000000006
"Houston Rockets","west","42","40",106.9,105.9,"1987","y",6,1
"Denver Nuggets","west","37","45",116.7,117.6,"1987","y",8,-0.899999999999991
"Sacramento Kings","west","29","53",110.9,114.1,"1987","n",10,-3.19999999999999
"San Antonio Spurs","west","28","54",108.3,113.4,"1987","n",11,-5.10000000000001
"Los Angeles Lakers","west","65","17",117.8,108.5,"1987","y",1,9.3
"Portland Trail Blazers","west","49","33",117.9,114.8,"1987","y",3,3.10000000000001
"Golden State Warriors","west","42","40",112,114.4,"1987","y",5,-2.40000000000001
"Seattle SuperSonics","west","39","43",113.7,113.3,"1987","y",7,0.400000000000006
"Phoenix Suns","west","36","46",111.1,113.5,"1987","n",9,-2.40000000000001
"Los Angeles Clippers","west","12","70",104.5,115.9,"1987","n",12,-11.4
"Denver Nuggets","west","54","28",116.7,112.7,"1988","y",2,4
"Dallas Mavericks","west","53","29",109.3,104.9,"1988","y",3,4.39999999999999
"Utah Jazz","west","47","35",108.5,104.8,"1988","y",5,3.7
"Houston Rockets","west","46","36",109,107.6,"1988","y",6,1.40000000000001
"San Antonio Spurs","west","31","51",113.6,118.5,"1988","y",8,-4.90000000000001
"Sacramento Kings","west","24","58",108,113.7,"1988","n",10,-5.7
"Los Angeles Lakers","west","62","20",112.8,107,"1988","y",1,5.8
"Portland Trail Blazers","west","53","29",116.1,111.5,"1988","y",4,4.59999999999999
"Seattle SuperSonics","west","44","38",111.4,109.3,"1988","y",7,2.10000000000001
"Phoenix Suns","west","28","54",108.5,113,"1988","n",9,-4.5
"Golden State Warriors","west","20","62",107,115.3,"1988","n",11,-8.3
"Los Angeles Clippers","west","17","65",98.8,109.1,"1988","n",12,-10.3
"Utah Jazz","west","51","31",104.7,99.7,"1989","y",2,5
"Houston Rockets","west","45","37",108.5,107.5,"1989","y",5,1
"Denver Nuggets","west","44","38",118,116.3,"1989","y",6,1.7
"Dallas Mavericks","west","38","44",103.5,104.7,"1989","n",9,-1.2
"San Antonio Spurs","west","21","61",105.5,112.8,"1989","n",12,-7.3
"Miami Heat","west","15","67",97.8,109,"1989","n",13,-11.2
"Los Angeles Lakers","west","57","25",114.7,107.5,"1989","y",1,7.2
"Phoenix Suns","west","55","27",118.6,110.9,"1989","y",3,7.69999999999999
"Seattle SuperSonics","west","47","35",112.1,109.2,"1989","y",4,2.89999999999999
"Golden State Warriors","west","43","39",116.6,116.9,"1989","y",7,-0.300000000000011
"Portland Trail Blazers","west","39","43",114.6,113.1,"1989","y",8,1.5
"Sacramento Kings","west","27","55",105.5,111,"1989","n",10,-5.5
"Los Angeles Clippers","west","21","61",106.2,116.2,"1989","n",11,-10
"San Antonio Spurs","west","56","26",106.3,102.8,"1990","y",2,3.5
"Utah Jazz","west","55","27",106.8,102,"1990","y",4,4.8
"Dallas Mavericks","west","47","35",102.2,102.2,"1990","y",6,0
"Denver Nuggets","west","43","39",114.6,113.2,"1990","y",7,1.39999999999999
"Houston Rockets","west","41","41",106.7,105.3,"1990","y",8,1.40000000000001
"Minnesota Timberwolves","west","22","60",95.2,99.4,"1990","n",13,-4.2
"Charlotte Hornets","west","19","63",100.4,108.2,"1990","n",14,-7.8
"Los Angeles Lakers","west","63","19",110.7,103.9,"1990","y",1,6.8
"Portland Trail Blazers","west","59","23",114.2,107.9,"1990","y",3,6.3
"Phoenix Suns","west","54","28",114.9,107.8,"1990","y",5,7.10000000000001
"Seattle SuperSonics","west","41","41",106.9,105.9,"1990","n",9,1
"Golden State Warriors","west","37","45",116.3,119.4,"1990","n",10,-3.10000000000001
"Los Angeles Clippers","west","30","52",103.8,107.2,"1990","n",11,-3.40000000000001
"Sacramento Kings","west","23","59",101.7,106.8,"1990","n",12,-5.09999999999999
"San Antonio Spurs","west","55","27",107.1,102.6,"1991","y",2,4.5
"Utah Jazz","west","54","28",104,100.7,"1991","y",5,3.3
"Houston Rockets","west","52","30",106.7,103.2,"1991","y",6,3.5
"Orlando Magic","west","31","51",105.9,109.9,"1991","n",9,-4
"Minnesota Timberwolves","west","29","53",99.6,103.5,"1991","n",11,-3.90000000000001
"Dallas Mavericks","west","28","54",99.9,104.5,"1991","n",12,-4.59999999999999
"Denver Nuggets","west","20","62",119.9,130.8,"1991","n",14,-10.9
"Portland Trail Blazers","west","63","19",114.7,106,"1991","y",1,8.7
"Los Angeles Lakers","west","58","24",106.3,99.6,"1991","y",3,6.7
"Phoenix Suns","west","55","27",114,107.5,"1991","y",4,6.5
"Golden State Warriors","west","44","38",116.6,115,"1991","y",7,1.59999999999999
"Seattle SuperSonics","west","41","41",106.6,105.4,"1991","y",8,1.19999999999999
"Los Angeles Clippers","west","31","51",103.5,107,"1991","n",10,-3.5
"Sacramento Kings","west","25","57",96.7,103.5,"1991","n",13,-6.8
"Utah Jazz","west","55","27",108.3,101.9,"1992","y",2,6.39999999999999
"San Antonio Spurs","west","47","35",104,100.6,"1992","y",5,3.40000000000001
"Houston Rockets","west","42","40",102,103.7,"1992","n",9,-1.7
"Denver Nuggets","west","24","58",99.7,107.6,"1992","n",11,-7.89999999999999
"Dallas Mavericks","west","22","60",97.6,105.3,"1992","n",12,-7.7
"Minnesota Timberwolves","west","15","67",100.5,107.5,"1992","n",13,-7
"Portland Trail Blazers","west","57","25",111.4,104.1,"1992","y",1,7.30000000000001
"Golden State Warriors","west","55","27",118.7,114.8,"1992","y",3,3.90000000000001
"Phoenix Suns","west","53","29",112.1,106.2,"1992","y",4,5.89999999999999
"Seattle SuperSonics","west","47","35",106.5,104.7,"1992","y",6,1.8
"Los Angeles Clippers","west","45","37",102.9,101.9,"1992","y",7,1
"Los Angeles Lakers","west","43","39",100.4,101.5,"1992","y",8,-1.09999999999999
"Sacramento Kings","west","29","53",104.3,110.3,"1992","n",10,-6
"Houston Rockets","west","55","27",104,99.8,"1993","y",2,4.2
"San Antonio Spurs","west","49","33",105.5,102.8,"1993","y",5,2.7
"Utah Jazz","west","47","35",106.2,104,"1993","y",6,2.2
"Denver Nuggets","west","36","46",105.2,106.9,"1993","n",9,-1.7
"Minnesota Timberwolves","west","19","63",98.1,105.9,"1993","n",12,-7.80000000000001
"Dallas Mavericks","west","11","71",99.3,114.5,"1993","n",13,-15.2
"Phoenix Suns","west","62","20",113.4,106.7,"1993","y",1,6.7
"Seattle SuperSonics","west","55","27",108.3,101.3,"1993","y",3,7
"Portland Trail Blazers","west","51","31",108.5,105.4,"1993","y",4,3.09999999999999
